name;alias;description;group_type;department;group_id;sku;unit;price;VAT;purchase_price;available;reserved;last_reserved_at
Аспирация жидкости/воздуха из плевральной полости у кошек;;Шпиц японский более 7 кг;Услуги платные;Хирургия;Хирургия;2016;1 голова;1000;;;0.00;0.00;
Аспирация жидкости/воздуха из плевральной полости у собак;;Пудель (карликовый, той);Услуги платные;Хирургия;Хирургия;2017;1 голова;1500;;;0.00;0.00;
Бронхоальвеолярный лаваж . Кошки, собаки мелких пород ( до 10 кг) Отбор материала без (2023);;Пудель (карликовый, той);Услуги платные;Хирургия;Хирургия;2217;1 голова;3000;;;0.00;0.00;
Бронхоальвеолярный лаваж . Кошки, собаки мелких пород ( до 10 кг) с отбором материала и эндоскопической диагностикой (2023);;Пудель (карликовый, той);Услуги платные;Хирургия;Хирургия;2214;1 голова;9000;;;0.00;0.00;
Бронхоальвеолярный лаваж. Собаки крупных пород ( от 30 кг) с отбором материала и эндоскопической диагностикой (2023);;Пудель  (малый, средний);Услуги платные;Хирургия;Хирургия;2216;1 голова;12000;;;0.00;0.00;
Бронхоальвеолярный лаваж. Собаки крупных пород (от 30 кг) Отбор материала для исследований без проведения эндоскопической диагностики. (2023);;Пудель  (малый, средний);Услуги платные;Хирургия;Хирургия;2219;1 голова;4000;;;0.00;0.00;
Бронхоальвеолярный лаваж. Собаки средних пород ( 11-30 кг) с отбором материала и эндоскопической диагностикой (2023);;Пудель  (малый, средний);Услуги платные;Хирургия;Хирургия;2215;1 голова;10500;;;0.00;0.00;
Бронхоальвеолярный лаваж. Собаки средних пород( 11-30 кг) Отбор материала для исследований без проведения эндоскопической диагностики. (2023);;Пудель (королевский);Услуги платные;Хирургия;Хирургия;2218;1 голова;3500;;;0.00;0.00;
Вазотомия;;Пудель (королевский);Услуги платные;Хирургия;Хирургия;48691;1 голова;4590;;;0.00;0.00;
Вентральная буллотомия (2023);;Пудель (королевский);Услуги платные;Хирургия;Хирургия;2231;1 голова;10500;;;0.00;0.00;
Вправление выпавшей матки, влагалища (2023);;Мальтийская болонка, русская цветная болонка, мальтипу;Услуги платные;Хирургия;Хирургия;2162;1 голова;2500;;;0.00;0.00;
Вправление прямой кишки;;Мальтийская болонка, русская цветная болонка, мальтипу;Услуги платные;Хирургия;Хирургия;2161;1 голова;1500;;;0.00;0.00;
Временный артродез. Кошка, собака 1-9 кг (2023);;Спаниель;Услуги платные;Хирургия;Хирургия;2185;1 конечность;15000;;;0.00;0.00;
Временный артродез. Собаки 10-24 кг (2023);;Спаниель;Услуги платные;Хирургия;Хирургия;2186;1 конечность;18000;;;0.00;0.00;
Временный артродез. Собаки 25-54 кг (2023);;Спаниель;Услуги платные;Хирургия;Хирургия;2187;1 конечность;20000;;;0.00;0.00;
Временный артродез. Собаки более 55 кг (2023);;Лабрадор;Услуги платные;Хирургия;Хирургия;2188;1 конечность;25000;;;0.00;0.00;
Гастроскопия кошке, собаке до 10 кг (2023);;Лабрадор;Услуги платные;Хирургия;Хирургия;2193;1 голова;5000;;;0.00;0.00;
Гастроскопия собаке 11-30 кг (2023);;Ретривер;Услуги платные;Хирургия;Хирургия;2194;1 голова;7000;;;0.00;0.00;
Гастроскопия собаке более 30 кг (2023);;Вельш-корги;Услуги платные;Хирургия;Хирургия;2194;1 голова;8500;;;0.00;0.00;
Грыжесечение ( пупочной грыжи) * (2023);;Вельш-корги;Услуги платные;Хирургия;Хирургия;2157;1 голова;4000;;;0.00;0.00;
Грыжесечение (паховой грыжи) * (2023);;Гриффон;Услуги платные;Хирургия;Хирургия;2158;1 голова;5000;;;0.00;0.00;
Грыжесечение (промежностной грыжи) *;;Гриффон;Услуги платные;Хирургия;Хирургия;2159;1 голова;8000;;;0.00;0.00;
Диагностическая лапаротомия . Гемабдомен. Собаки от 10 кг (2023);;Гриффон;Услуги платные;Хирургия;Хирургия;2143;1 голова;10000;;;0.00;0.00;
Диагностическая лапаротомия кошки, собаки до 10 кг * (2023);;Джек Рассел гладкошерстный;Услуги платные;Хирургия;Хирургия;2140;1 голова;4000;;;0.00;0.00;
Диагностическая лапаротомия с целью взятия биопсийного материала. Кошки, собаки до 10 кг (2023);;Джек Рассел гладкошерстный;Услуги платные;Хирургия;Хирургия;2144;1 голова;8500;;;0.00;0.00;
Диагностическая лапаротомия с целью взятия биопсийного материала. Собаки более 10 кг (2023);;Джек Рассел гладкошерстный;Услуги платные;Хирургия;Хирургия;2145;1 голова;11000;;;0.00;0.00;
Диагностическая лапаротомия собаки  от 10 кг * (2023);;Петербургская орхидея;Услуги платные;Хирургия;Хирургия;2141;1 голова;5500;;;0.00;0.00;
Диагностическая лапаротомия. Гемабдомен. Кошки, собаки до 10 кг (2023);;Петербургская орхидея;Услуги платные;Хирургия;Хирургия;2142;1 голова;8000;;;0.00;0.00;
Диагностическая торакотомия у кошек, собак до 10 кг (2023);;Керри блю терьер;Услуги платные;Хирургия;Хирургия;2132;1 голова;8500;;;0.00;0.00;
Диагностическая торакотомия у собак от 10 кг (2023);;Керри блю терьер;Услуги платные;Хирургия;Хирургия;2133;1 голова;9000;;;0.00;0.00;
Ингаляционная анестезия. Пациентам 1-2 класса по степени анестезиологического риска (осмотр анестезиолога, выполнение процедуры выведения из наркоза путем инфузионной терапии);;Пшеничный мягкошерстный терьер;Услуги платные;Хирургия;Хирургия;4755;1 голова;2500;;;0.00;0.00;
Ингаляционная анестезия. Пациентам 3 класса по степени анестезиологического риска;;Пшеничный мягкошерстный терьер;Услуги платные;Хирургия;Хирургия;4756;1 голова;3000;;;0.00;0.00;
Ингаляционная анестезия. Пациентам 5 класса по степени анестезиологического риска;;Керн-терьер;Услуги платные;Хирургия;Хирургия;4758;1 голова;5000;;;0.00;0.00;
Кастрация кобеля (полная стоимость с учетом приема животного, без стоимости дополнительных исследований, расходных материалов и лекарственных средств) * (2023);;Керн-терьер;Услуги платные;Хирургия;Хирургия;2122;1 голова;7000;;;0.00;0.00;
Кастрация кобеля при крипторхизме (брюшная область) * (2023);;Аляскинский маламут, самоед;Услуги платные;Хирургия;Хирургия;2124;1 голова;13000;;;0.00;0.00;
Удаление инородного тела  из глотки (2023);;Лабрадор, очарка (к/ш), хаски;Услуги платные;Хирургия;Хирургия;2124;1 голова;205;;;0.00;0.00;
Кастрация кобеля при крипторхизме (паховая область) * (2023);;Овчарка длинношерстная;Услуги платные;Хирургия;Хирургия;2123;1 голова;9000;;;0.00;0.00;
Кастрация кота,хорька,кролика (полная стоимость с учетом приема животного, без стоимости дополнительных исследований, расходных материалов и лекарственных средств) * (2023);;Гигантские породы собак;Услуги платные;Хирургия;Хирургия;2119;1 голова;2000;;;0.00;0.00;
Кастрация кота,хорька,кролика при крипторхизме (брюшная полость) * (2023);;Дополнительные услуги;Услуги платные;Хирургия;Хирургия;2121;1 голова;4000;;;0.00;0.00;
Кастрация кота,хорька,кролика при крипторхизме (паховая область) * (2023);;;Услуги платные;Хирургия;Хирургия;2120;1 голова;2500;;;0.00;0.00;
Колонопексия кошки, собаки до 10 кг (2023);;;Услуги платные;Хирургия;Хирургия;2206;1 голова;5500;;;0.00;0.00;
Колонопексия собаки более 10 кг;;;Услуги платные;Хирургия;Хирургия;2207;1 голова;6500;;;0.00;0.00;
Колонотомия (кошки);;;Услуги платные;Хирургия;Хирургия;4855;1 голова;3060;;;0.00;0.00;
Колонотомия (собаки);;;Услуги платные;Хирургия;Хирургия;4855;1 голова;5085;;;0.00;0.00;
Консервативное лечение пиометры;;;Услуги платные;Хирургия;Хирургия;49624;1 голова;915;;;0.00;0.00;
